127.0.0.1 - - [05/Aug/2019:11:41:24 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [05/Aug/2019:11:41:25 +0900] "GET /lunchbox_1.0/view/index.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [05/Aug/2019:11:42:34 +0900] "GET /lunchbox_1.0/jsp/index.jsp HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [05/Aug/2019:11:42:35 +0900] "GET /lunchbox_1.0/jsp/main.jsp HTTP/1.1" 200 2269
0:0:0:0:0:0:0:1 - - [05/Aug/2019:11:42:35 +0900] "GET /lunchbox_1.0/jsp/css/bootstrap.css HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [05/Aug/2019:11:42:35 +0900] "GET /lunchbox_1.0/jsp/js/bootstrap.js HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [05/Aug/2019:11:42:35 +0900] "GET /lunchbox_1.0/jsp/js/bootstrap.js HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [05/Aug/2019:11:43:23 +0900] "GET /lunchbox_1.0/view/index.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [05/Aug/2019:11:43:36 +0900] "GET /lunchbox_1.0/jsp/index.jsp HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [05/Aug/2019:11:43:36 +0900] "GET /lunchbox_1.0/jsp/main.jsp HTTP/1.1" 200 2269
0:0:0:0:0:0:0:1 - - [05/Aug/2019:11:43:36 +0900] "GET /lunchbox_1.0/jsp/css/bootstrap.css HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [05/Aug/2019:11:43:36 +0900] "GET /lunchbox_1.0/jsp/js/bootstrap.js HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [05/Aug/2019:11:43:36 +0900] "GET /lunchbox_1.0/jsp/js/bootstrap.js HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [05/Aug/2019:11:43:59 +0900] "GET /lunchbox_1.0/jsp/index.jsp HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [05/Aug/2019:11:43:59 +0900] "GET /lunchbox_1.0/jsp/main.jsp HTTP/1.1" 200 2269
0:0:0:0:0:0:0:1 - - [05/Aug/2019:11:43:59 +0900] "GET /lunchbox_1.0/jsp/js/bootstrap.js HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [05/Aug/2019:11:43:59 +0900] "GET /lunchbox_1.0/jsp/css/bootstrap.css HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [05/Aug/2019:11:44:00 +0900] "GET /lunchbox_1.0/jsp/js/bootstrap.js HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [05/Aug/2019:11:44:16 +0900] "GET /lunchbox_1.0/jsp/index.jsp HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [05/Aug/2019:11:44:16 +0900] "GET /lunchbox_1.0/jsp/main.jsp HTTP/1.1" 200 2269
0:0:0:0:0:0:0:1 - - [05/Aug/2019:11:44:16 +0900] "GET /lunchbox_1.0/jsp/css/bootstrap.css HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [05/Aug/2019:11:44:16 +0900] "GET /lunchbox_1.0/jsp/js/bootstrap.js HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [05/Aug/2019:11:44:45 +0900] "GET /lunchbox_1.0/index.jsp HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [05/Aug/2019:11:44:45 +0900] "GET /lunchbox_1.0/main.jsp HTTP/1.1" 200 2269
0:0:0:0:0:0:0:1 - - [05/Aug/2019:11:44:45 +0900] "GET /lunchbox_1.0/css/bootstrap.css HTTP/1.1" 200 141575
0:0:0:0:0:0:0:1 - - [05/Aug/2019:11:44:45 +0900] "GET /lunchbox_1.0/js/bootstrap.js HTTP/1.1" 200 66732
0:0:0:0:0:0:0:1 - - [05/Aug/2019:11:44:52 +0900] "GET /lunchbox_1.0/Choose.jsp HTTP/1.1" 200 3015
0:0:0:0:0:0:0:1 - - [05/Aug/2019:11:44:52 +0900] "GET /lunchbox_1.0/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2019:11:44:52 +0900] "GET /lunchbox_1.0/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2019:11:44:55 +0900] "GET /lunchbox_1.0/result.jsp HTTP/1.1" 200 3470
0:0:0:0:0:0:0:1 - - [05/Aug/2019:11:44:55 +0900] "GET /lunchbox_1.0/images/1.jpg HTTP/1.1" 200 199669
0:0:0:0:0:0:0:1 - - [05/Aug/2019:11:44:55 +0900] "GET /lunchbox_1.0/images/2.jpg HTTP/1.1" 200 174354
0:0:0:0:0:0:0:1 - - [05/Aug/2019:11:44:55 +0900] "GET /lunchbox_1.0/images/3.jpg HTTP/1.1" 200 178319
0:0:0:0:0:0:0:1 - - [05/Aug/2019:11:44:55 +0900] "GET /lunchbox_1.0/images/4.jpg HTTP/1.1" 200 178319
0:0:0:0:0:0:0:1 - - [05/Aug/2019:11:44:55 +0900] "GET /lunchbox_1.0/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [05/Aug/2019:11:45:11 +0900] "GET /lunchbox_1.0/result.jsp HTTP/1.1" 200 3470
0:0:0:0:0:0:0:1 - - [05/Aug/2019:11:45:11 +0900] "GET /lunchbox_1.0/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2019:11:45:11 +0900] "GET /lunchbox_1.0/images/1.jpg HTTP/1.1" 304 -
